#,current_filename,format,dimensions,orientation,estimated_quality,subject,people_identifiable,number_plate_visible,children_visible,duplicate_or_similar,suitable_for_website,potential_use,edits_required_later,consent_or_copyright_concern,recommended_filename,recommended_folder
0,273551012_4743512335717025_7138461409388116319_n (1).jpg,JPEG,480x480,square,Low (Facebook thumbnail ~414px),"EzeeFin logo, red 'e' mark + 'any car · any bank · any place' strap",N,N,N,"1 (same art, smaller)","Yes, small use only — re-source original",Interim logo until vector supplied,Re-source vector original; transparent background,None noted,logo-ezeefin-primary-01.jpg,public/assets/brand/
1,273551012_4743512335717025_7138461409388116319_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),EzeeFin logo (smaller duplicate of #0),N,N,N,0,No — duplicate/low quality,None — duplicate,—,None noted,logo-ezeefin-primary-02-duplicate.jpg,public/assets/archive/
2,479908717_1191079256355671_8888400325121399253_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Group of four at dealership handover beside teal Renault,Y,N,N,similar to 4,"Yes, small use only — re-source original",Social-proof gallery (with consent),Consent; light colour correction,Customer photo consent required (POPIA),vehicle-delivery-renault-group-01.jpg,public/assets/deliveries/
3,480010433_1191079243022339_6328053706917880093_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Covered vehicle with large red bow, pre-reveal, showroom",N,N,N,,"Yes, small use only — re-source original",Hero/'how it works' reveal motif,Upscale or re-shoot; crop,None noted,vehicle-reveal-covered-01.jpg,public/assets/hero/
4,480155582_1191079096355687_5663396537308231097_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Same handover group as #2, wider angle",Y,N,N,similar to 2,"Yes, small use only — re-source original",Social-proof gallery (with consent),Consent,Customer photo consent required (POPIA),vehicle-delivery-renault-group-02.jpg,public/assets/deliveries/
5,480206731_1191079233022340_3543857058781148051_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Teal Renault Kiger with red bow, front three-quarter",N,N,N,,"Yes, small use only — re-source original",Service page imagery,Crop banner edge,None noted,vehicle-delivery-renault-kiger-01.jpg,public/assets/vehicles/
6,480221396_1191079186355678_1892574062353263317_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Teal Renault Kiger rear three-quarter,N,N,N,,"Yes, small use only — re-source original",Service page imagery,—,None noted,vehicle-delivery-renault-kiger-02.jpg,public/assets/vehicles/
7,480770152_9235499403184940_8291065950779587764_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Consultant congratulating elderly customer, white Ford Ranger, EzeeFin 10 banner",Y,N,N,similar to 8/20,"Yes, small use only — re-source original",Trust/testimonial imagery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-bakkie-01.jpg,public/assets/deliveries/
8,480775413_9235499523184928_4445518209083353751_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Same customer/consultant pair as #7, handshake at bonnet",Y,N,N,similar to 7,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-bakkie-02.jpg,public/assets/deliveries/
9,480942460_9233312906736923_2876809676917329728_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Young woman with gift beside covered car with red bow,Y,N,N,,"Yes, small use only — re-source original",Reveal-moment imagery (with consent),Consent,Customer photo consent required (POPIA),customer-reveal-hatchback-01.jpg,public/assets/deliveries/
10,480975900_9242976505770563_546085739953556835_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Handover handshake beside white Audi, woman customer with hamper",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-audi-01.jpg,public/assets/deliveries/
11,480984046_9234014490000098_818978918906923514_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Masked handover, crossover with visible KZN number plate, EzeeFin banner",Y,Y,N,,"Yes, small use only — re-source original",Gallery only after plate blur + consent,Blur plate; consent,Customer photo consent required (POPIA); Number plate legible — blur before use,customer-handover-crossover-01.jpg,public/assets/deliveries/
12,481008952_9222074954527385_430136488994998327_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"EzeeFin logo, alternate render on white",N,N,N,near-dup of 0/79,"Yes, small use only — re-source original",Logo reference,Re-source vector,None noted,logo-ezeefin-primary-03.jpg,public/assets/brand/
13,481078114_9242976525770561_4386164873255474665_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),White Audi Q3 front grille close-up,N,N,N,,"Yes, small use only — re-source original",Premium-sourcing imagery,—,None noted,vehicle-sourcing-audi-q3-01.jpg,public/assets/vehicles/
14,481096661_9242976392437241_1056473891012646284_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),White Audi Q3 rear three-quarter,N,N,N,,"Yes, small use only — re-source original",Premium-sourcing imagery,—,None noted,vehicle-sourcing-audi-q3-02.jpg,public/assets/vehicles/
15,481107177_9264035783664635_1590261485064341060_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Customer beside white VW Polo sedan with blue bow,Y,P,N,,"Yes, small use only — re-source original",Gallery (with consent),Check/blur plate; consent,Customer photo consent required (POPIA); Possible plate visibility — verify,customer-handover-sedan-01.jpg,public/assets/deliveries/
16,481163217_9242976819103865_8945125171583558935_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),White Audi Q3 with red bow across bonnet,N,N,N,,"Yes, small use only — re-source original",Hero candidate motif,Upscale/re-shoot,None noted,vehicle-delivery-audi-q3-bow-01.jpg,public/assets/vehicles/
17,481193450_9264035780331302_3360812397854147388_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Two men handshake, VW Polo Vivo with blue bow",Y,N,N,similar to 18,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-polo-vivo-01.jpg,public/assets/deliveries/
18,481213706_9264035986997948_5021931065011112011_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Customer celebrating arms raised, VW Polo Vivo, blue bow",Y,N,N,similar to 17,"Yes, small use only — re-source original",Joy/celebration imagery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-polo-vivo-02.jpg,public/assets/deliveries/
19,481295385_9242976772437203_1277173700472099205_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Handover to woman customer beside black Audi,Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-audi-02.jpg,public/assets/deliveries/
20,481358463_9235499416518272_7796139448389792675_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Masked handshake handover, white Ford Ranger, EzeeFin banner",Y,N,N,similar to 7/8,"Yes, small use only — re-source original",Gallery — masks date it (COVID era),Consent; consider archive,Customer photo consent required (POPIA),customer-handover-bakkie-03.jpg,public/assets/archive/
21,481775601_9233312903403590_6405244528311554727_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Woman with keys and gift, white VW Polo, red ribbon, plate 'JRD…' visible",Y,Y,N,,"Yes, small use only — re-source original",Gallery only after plate blur + consent,Blur plate; consent,Customer photo consent required (POPIA); Number plate legible — blur before use,customer-handover-polo-01.jpg,public/assets/deliveries/
22,481916441_9242976682437212_1843741193017104518_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"White VW with red bow cushion on bonnet, dealership forecourt",N,P,N,,"Yes, small use only — re-source original",Service imagery,Check/blur plate,Possible plate visibility — verify,vehicle-delivery-vw-suv-01.jpg,public/assets/vehicles/
23,481919136_9234014603333420_357374099962971882_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Handover with purple ribbon, EzeeFin banner, plate partially visible",Y,P,N,,"Yes, small use only — re-source original",Gallery (with consent),Blur plate; consent,Customer photo consent required (POPIA); Possible plate visibility — verify,customer-handover-crossover-02.jpg,public/assets/deliveries/
24,482980466_9335157406552472_1829423982911498821_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Woman with flowers beside covered car with red bow,Y,N,N,,"Yes, small use only — re-source original",Reveal imagery (with consent),Consent,Customer photo consent required (POPIA),customer-reveal-suv-01.jpg,public/assets/deliveries/
25,482985445_9340600236008189_3171119688700303346_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Handshake at Hyundai Hillcrest, grey Hyundai, 'Congratulations' arch",Y,N,N,similar to 26,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-hyundai-01.jpg,public/assets/deliveries/
26,482986156_9340600422674837_409700063424123174_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Customer in tropical shirt at Hyundai Hillcrest, EzeeFin banner",Y,N,N,similar to 25,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-hyundai-02.jpg,public/assets/deliveries/
27,483367288_9317404411661105_4248540646448406192_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Consultant handing keys to woman, white Hyundai, EzeeFin banner",Y,N,N,similar to 28,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-hyundai-03.jpg,public/assets/deliveries/
28,483370087_9317404781661068_4469090947845841859_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Woman in blue dress beside white Hyundai, EzeeFin banner",Y,N,N,similar to 27,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-hyundai-04.jpg,public/assets/deliveries/
29,483508610_9335419869859559_3175533359494505661_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Dark grey Suzuki with large red bow,N,N,N,,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-suzuki-01.jpg,public/assets/vehicles/
30,483525440_9335419743192905_1517310346374498750_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Dark Toyota with red bow, EzeeFin banner, Toyota Certified board",N,N,N,similar to 31,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-toyota-01.jpg,public/assets/vehicles/
31,483525561_9335419776526235_4223197894427492120_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Couple beside dark Toyota with red bow, EzeeFin banner",Y,N,N,similar to 30,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-toyota-01.jpg,public/assets/deliveries/
32,483842007_9335419736526239_2643957651608586362_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Key handover with red ribbon car at Automark dealership,Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-automark-01.jpg,public/assets/deliveries/
33,484068147_9340600336008179_8738553138018816550_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Covered vehicle under 'Congratulations' arch, Hyundai Hillcrest, man at side",Y,N,N,,"Yes, small use only — re-source original",Reveal imagery (with consent),Consent,Customer photo consent required (POPIA),vehicle-reveal-hyundai-01.jpg,public/assets/deliveries/
34,484365283_9335157599885786_3878068798466555450_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Couple handover with flowers, EzeeFin banner",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-couple-01.jpg,public/assets/deliveries/
35,484528776_9317404784994401_8256379345721356877_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),White Hyundai i20 beside EzeeFin 10 banner (contact details legible),N,N,N,,"Yes, small use only — re-source original",Brand-in-context imagery,—,None noted,vehicle-delivery-hyundai-i20-banner-01.jpg,public/assets/vehicles/
36,484850789_9335157383219141_3988139573632867024_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Blue Mercedes-Benz C-Class with red bow, EzeeFin banner",N,N,N,,"Yes, small use only — re-source original",Premium imagery,—,None noted,vehicle-delivery-mercedes-01.jpg,public/assets/vehicles/
37,484862532_9371706012897611_4734792826195402892_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Silver Toyota Etios with oversized red bow, front",N,N,N,,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-toyota-etios-01.jpg,public/assets/vehicles/
38,485007042_9335157619885784_3942217958865402140_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Couple handover beside blue Toyota, EzeeFin consultant",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-toyota-02.jpg,public/assets/deliveries/
39,485355160_9371706009564278_3163442328510995409_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Man beside white Toyota Etios Cross, red bow, Honda congratulations mat",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-etios-cross-01.jpg,public/assets/deliveries/
40,485363357_9370636936337852_6413251557089622335_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Handover at Suzuki dealership, woman customer (one face already blurred)",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent; face-blur consistency,Customer photo consent required (POPIA),customer-handover-suzuki-01.jpg,public/assets/deliveries/
41,485364585_9371705872897625_1990655456389932155_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Two men handshake, Toyota with red bow, Honda The Glen mat (Gauteng)",Y,N,N,,"Yes, small use only — re-source original",Shows national reach (with consent),Consent,Customer photo consent required (POPIA),customer-handover-toyota-gauteng-01.jpg,public/assets/deliveries/
42,485601334_9378563802211832_9026618047079808150_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Handshake beside black VW Polo GTI with red bow,Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-polo-gti-01.jpg,public/assets/deliveries/
43,485692406_9370636593004553_4339849750429626441_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Dark blue Suzuki Swift with black bow, front",N,N,N,similar to 45,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-swift-01.jpg,public/assets/vehicles/
44,485745799_9378563608878518_8821299320985273274_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Black VW Polo GTI front, dealership forecourt",N,N,N,similar to 46,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-polo-gti-01.jpg,public/assets/vehicles/
45,485768642_9370636906337855_1601075540310360776_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Dark blue Suzuki Swift rear three-quarter,N,N,N,similar to 43,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-swift-02.jpg,public/assets/vehicles/
46,485789141_9378563765545169_4164049033290490657_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Black VW Polo rear three-quarter,N,P,N,similar to 44,"Yes, small use only — re-source original",Service imagery,Check/blur plate,Possible plate visibility — verify,vehicle-delivery-polo-gti-02.jpg,public/assets/vehicles/
47,485882559_9370636776337868_6752840429262278077_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Woman seated in Suzuki Swift with black bow, door open",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-swift-01.jpg,public/assets/deliveries/
48,485923528_9389583101109902_1478910014405806253_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Woman receiving gift at GWM dealership,Y,N,N,similar to 50/51,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-gwm-01.jpg,public/assets/deliveries/
49,486081336_9378563552211857_9126519348448197011_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Two men with red-ribbon car at GWM/HAVAL dealership,Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-gwm-02.jpg,public/assets/deliveries/
50,486152873_9389583197776559_6465811179551831719_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Couple with gift at GWM dealership,Y,N,N,similar to 48,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-gwm-03.jpg,public/assets/deliveries/
51,486168808_9389583304443215_4602985328315768675_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Couple at GWM dealership with EzeeFin banner,Y,N,N,similar to 50,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-gwm-04.jpg,public/assets/deliveries/
52,486465455_9416338845100994_710273102421777780_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Handshake beside white Suzuki Swift with blue bow,Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-swift-02.jpg,public/assets/deliveries/
53,486751161_9408246742576871_7763039746975621639_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Man unveiling covered bakkie (Toyota Hilux),Y,N,N,similar to 60,"Yes, small use only — re-source original",Reveal imagery (with consent),Consent,Customer photo consent required (POPIA),customer-reveal-bakkie-01.jpg,public/assets/deliveries/
54,486807605_9416338558434356_6802378606537994410_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"White Suzuki Swift rear, number plate visible",N,Y,N,,"Yes, small use only — re-source original",Service imagery after plate blur,Blur plate,Number plate legible — blur before use,vehicle-delivery-swift-03.jpg,public/assets/vehicles/
55,487064536_9427326204002258_3138171541664655429_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Orange Ford EcoSport handover to woman, Ford dealership, EzeeFin banner",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-ecosport-01.jpg,public/assets/deliveries/
56,487088299_9438834842851394_1014759680820017853_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Man beside grey VW Polo with red ribbon, VW literature stand",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-polo-02.jpg,public/assets/deliveries/
57,487129274_9416338891767656_5429620861584717380_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"White Suzuki Swift with blue bow, front close-up",N,N,N,similar to 64,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-swift-04.jpg,public/assets/vehicles/
58,487232043_9427326024002276_3122187730335244713_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Orange Ford EcoSport front, Kempster Ford dealer board",N,N,N,similar to 70/71,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-ecosport-01.jpg,public/assets/vehicles/
59,487378841_9427326424002236_4924687293861403365_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Family with young child at Ford dealership, EzeeFin banner",Y,N,Y,,Not until consent resolved,Do not publish without explicit parental consent,Parental consent mandatory,Customer photo consent required (POPIA); CHILD VISIBLE — parental consent mandatory,customer-handover-family-01.jpg,public/assets/archive/
60,487385112_9408246572576888_5303859157378872853_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Man beside covered bakkie, dealership bunting",Y,N,N,similar to 53,"Yes, small use only — re-source original",Reveal imagery (with consent),Consent,Customer photo consent required (POPIA),customer-reveal-bakkie-02.jpg,public/assets/deliveries/
61,487399919_9416338878434324_6072819020837537831_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Two men handshake, white Suzuki Swift, SWIFT display column",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-swift-03.jpg,public/assets/deliveries/
62,487422797_9438902369511308_2719541486779145015_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Family with two children beside red Renault, EzeeFin banner",Y,P,Y,,Not until consent resolved,Do not publish without explicit parental consent,Parental consent mandatory; check plate,Customer photo consent required (POPIA); CHILD VISIBLE — parental consent mandatory; Possible plate visibility — verify,customer-handover-family-02.jpg,public/assets/archive/
63,487448230_9438902149511330_7704517256072057094_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Red Renault Kiger with silver bow, 'EzeeFin 10 delivery' banner",N,N,N,,"Yes, small use only — re-source original",Anniversary/brand imagery,—,None noted,vehicle-delivery-kiger-anniversary-01.jpg,public/assets/vehicles/
64,487454621_9416338855100993_6086380031934375569_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),White Suzuki Swift with blue bow beside SWIFT column,N,N,N,similar to 57,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-swift-05.jpg,public/assets/vehicles/
65,487478806_9438834632851415_4294705799246528836_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Grey VW Polo with red ribbon, showroom",N,N,N,,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-polo-01.jpg,public/assets/vehicles/
66,487505576_9438902269511318_8851098222834657633_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Red Renault Kwid handover, Suzuki wall, EzeeFin banner",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-kwid-01.jpg,public/assets/deliveries/
67,487506847_9438834739518071_7442489535330000378_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Two men handshake beside grey VW, EzeeFin banner",Y,N,N,,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-vw-01.jpg,public/assets/deliveries/
68,487509148_9438834572851421_5422130615097327097_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Man holding keys, grey VW Polo with red bow, EzeeFin banner",Y,P,N,,"Yes, small use only — re-source original",Gallery (with consent),Check/blur plate; consent,Customer photo consent required (POPIA); Possible plate visibility — verify,customer-handover-polo-03.jpg,public/assets/deliveries/
69,487744006_9427326227335589_9202123593675291865_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Mother and child beside covered car with blue bow, Ford, congratulations mat",Y,N,Y,,Not until consent resolved,Do not publish without explicit parental consent,Parental consent mandatory,Customer photo consent required (POPIA); CHILD VISIBLE — parental consent mandatory,customer-reveal-family-01.jpg,public/assets/archive/
70,487749465_9427326144002264_525247491959476369_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Orange Ford EcoSport front three-quarter, EzeeFin banners",N,N,N,similar to 58,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-ecosport-02.jpg,public/assets/vehicles/
71,487810088_9427326207335591_3887038942805217419_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Orange Ford EcoSport rear wheel/side detail,N,N,N,similar to 58,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-ecosport-03.jpg,public/assets/vehicles/
72,514755028_10162027692588402_61353192552116435_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"White Suzuki Ertiga rear, showroom",N,N,N,similar to 74,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-ertiga-01.jpg,public/assets/vehicles/
73,515927654_10162027692753402_6342585724070590099_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"Two men handover, white Suzuki/VW with pink-red bow",Y,N,N,similar to 75,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-suzuki-02.jpg,public/assets/deliveries/
74,516052250_10162027692798402_7572292477330016659_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),"White Suzuki Ertiga with large blue bow, Suzuki flags",N,N,N,similar to 72,"Yes, small use only — re-source original",Service imagery,—,None noted,vehicle-delivery-ertiga-02.jpg,public/assets/vehicles/
75,516100523_10162027692763402_9030685119091361431_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Two men handshake over pink-bow Suzuki bonnet,Y,N,N,similar to 73,"Yes, small use only — re-source original",Gallery (with consent),Consent,Customer photo consent required (POPIA),customer-handover-suzuki-03.jpg,public/assets/deliveries/
76,572124195_1423520509778210_3367713140229003433_n.jpg,JPEG,1536x2048,portrait,Good (high-res),"Suzuki FRONX floor display, red-bow car, dealership interior (portrait, high-res 1536x2048)",N,N,N,,Yes,Best-quality photo in set; hero candidate,Crop for landscape hero,None noted,vehicle-showroom-fronx-01.jpg,public/assets/hero/
77,648449429_1539352254861701_4971051455986759376_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),'FAREWELL — Ezeefin Group would like to bid farewell' staff graphic,Y,N,N,,No — internal content,Internal HR content — do not publish,—,Customer photo consent required (POPIA); Internal HR content,internal-farewell-staff-01.jpg,public/assets/archive/
78,714896702_1616076097189316_1709478204710471123_n.jpg,JPEG,414x414,square,Low (Facebook thumbnail ~414px),Anniversary collage contrasting 2016 and 2026 deliveries,Y,N,N,,"Yes, small use only — re-source original",Anniversary evidence; verify dates before use,Consent; verify claim,Customer photo consent required (POPIA),brand-anniversary-collage-2016-2026-01.jpg,public/assets/brand/
79,images.jpeg,JPEG,447x447,square,Low (Facebook thumbnail ~414px),EzeeFin logo on white background (search-engine copy),N,N,N,near-dup of 0/12,No — duplicate/low quality,Logo reference,Re-source vector,None noted,logo-ezeefin-primary-04.jpg,public/assets/archive/
